key,label,icon_name,bg,created_at
0,Audiovisual (Foto/Vídeo),Video,bg-cyan-950/90 text-cyan-300 border border-cyan-500/30,2026-06-25T16:28:54.343Z
1,Banner Bloco D,Calendar,bg-amber-950/90 text-amber-300 border border-amber-500/30,2026-07-02T18:15:48.906896Z
2,Cartões de Felicitações,Award,bg-emerald-950/90 text-emerald-300 border border-emerald-500/30,2026-06-25T16:28:54.343Z
3,Gráfica & Design,Palette,bg-emerald-950/90 text-emerald-300 border border-emerald-500/30,2026-06-25T16:28:54.343Z
4,Eventos,Award,bg-emerald-950/90 text-emerald-300 border border-emerald-500/30,2026-07-03T11:07:07.784124Z
5,Fotografia,Palette,bg-amber-950/90 text-amber-300 border border-amber-500/30,2026-07-03T11:06:12.759974Z
6,Licitações e Contratos,Calendar,bg-emerald-950/90 text-emerald-300 border border-emerald-500/30,2026-07-02T18:21:53.718043Z
